Variable,Category,Definition,Units,Reason_for_Use,Scientific_Significance,Feature_Selection_Priority,Expected_Importance
marine_layer_depth_proxy,Land-Ocean,Proxy for marine layer thickness,dimensionless,Marine boundary layer effects,Vertical mixing and transport,High,Medium
marine_layer_presence,Land-Ocean,Binary flag for marine layer conditions,Binary,Marine layer event detection,Distinct meteorological regime,High,Medium
CUTI Coastal Upwelling Transport Index (m^2/s),Upwelling,Coastal upwelling transport index,m²/s,Core hypothesis: ocean-atmosphere coupling,Cold water upwelling affects marine layer,Very High,High
Cumulative CUTI Coastal Upwelling Transport Index (m^2/s),Upwelling,Running sum of CUTI,m²/s,Persistent upwelling effects,Cumulative ocean cooling,Medium,Medium
CUTI Coastal Upwelling Transport Index (m^2/s)_lag1,Upwelling,CUTI 1 day ago,m²/s,Delayed upwelling effects,Ocean-atmosphere lag,High,High
CUTI Coastal Upwelling Transport Index (m^2/s)_lag3,Upwelling,CUTI 3 days ago,m²/s,Multi-day upwelling persistence,Extended ocean influence,Medium,Medium
CUTI Coastal Upwelling Transport Index (m^2/s)_lag7,Upwelling,CUTI 7 days ago,m²/s,Weekly upwelling patterns,Longer-term ocean effects,Medium,Medium
CUTI Coastal Upwelling Transport Index (m^2/s)_roll7_mean,Upwelling,7-day mean CUTI,m²/s,Recent upwelling trend,Smoothed ocean signal,High,High
BEUTI Biological Effective Upwelling Transport Index (mmol m/s),Upwelling,Biologically effective upwelling,mmol N/s/m,Nutrient-based upwelling measure,Ecosystem-relevant upwelling,High,Medium
BEUTI Biological Effective Upwelling Transport Index (mmol m/s)_lag1,Upwelling,BEUTI 1 day ago,mmol N/s/m,Delayed biological upwelling effects,Ecosystem response timing,Medium,Medium
BEUTI Biological Effective Upwelling Transport Index (mmol m/s)_roll7_mean,Upwelling,7-day mean BEUTI,mmol N/s/m,Recent biological upwelling trend,Smoothed ecosystem signal,Medium,Medium
Bakun Offshore Transport (m^3/s/100m),Upwelling,Bakun offshore transport index,m³/s/100m,Historical upwelling comparison,Classic upwelling metric,Medium,Medium
Bakun Along-shore Transport (m^3/s/100m),Upwelling,Bakun alongshore transport,m³/s/100m,Coastal current transport,Parallel-coast flow effects,Low,Low
sst_value_sst,Ocean Temperature,Sea surface temperature,°C,Direct ocean temperature effect,Marine layer temperature control,High,High
sst_anomaly,Ocean Temperature,SST deviation from climatology,°C,Unusual ocean conditions,Extreme ocean events,High,Medium
sst_value_sst_lag1,Ocean Temperature,SST 1 day ago,°C,Ocean temperature persistence,Thermal inertia effects,Medium,Medium
sst_value_anom,Ocean Temperature,SST anomaly (alternative),°C,Redundant with sst_anomaly,Same as sst_anomaly,Low,Low
sst_flag_sst,Ocean Temperature,SST data quality flag,Integer,Data quality control,Identifies missing/poor data,Low,N/A - QC
ozone_exceed_70,Event Flags,Ozone exceeds EPA standard (70 ppb),Binary,Health-relevant threshold,Regulatory compliance indicator,Medium,Medium
heatwave_flag,Event Flags,Temperature exceeds heat threshold,Binary,Extreme temperature events,High ozone risk conditions,Medium,Medium
strong_upwelling_event,Event Flags,CUTI exceeds 90th percentile,Binary,Extreme upwelling events,Strong marine influence periods,Medium,Medium
distance_to_coast_km,Spatial,Distance from site to coastline,km,Marine influence proximity,Distance-decay of ocean effects,Medium,Medium
region_type,Spatial,Site classification (coastal/inland),Categorical,Site type grouping,Different exposure to marine effects,Medium,Medium
EPA_Site_ID,Metadata,Alternative EPA site identifier,Text,Data management,Cross-reference identifier,Low,N/A - ID
EPA_Site_Name,Metadata,Alternative EPA site name,Text,Data management,Cross-reference name,Low,N/A - Label
Weather_Filename,Metadata,Source weather data file,Text,Data provenance tracking,Quality control reference,Low,N/A - QC
impute,Metadata,Data imputation flag,Binary,Missing data indicator,Data quality assessment,Low,N/A - QC
sst_date,Metadata,SST data date,Date,SST data timestamp,Temporal alignment check,Low,N/A - QC
geometry,Metadata,Site geometric coordinates,Geometry,GIS spatial operations,Mapping and spatial analysis,Low,N/A - Spatial
